iter	RMSE
0	0.3819163918
1	0.3692538201
2	0.3586782489
3	0.3481132155
4	0.3381153358
5	0.3285560016
6	0.3198153571
7	0.3109609731
8	0.3023413136
9	0.2942051081
10	0.2869854402
11	0.2795144531
12	0.2717074029
13	0.2652453289
14	0.2590732849
15	0.2535359233
16	0.2479703558
17	0.2429942759
18	0.2377518485
19	0.2329068664
20	0.2286241983
21	0.2239187905
22	0.2199849579
23	0.2156842189
24	0.2119748449
25	0.2082649091
26	0.2053654225
27	0.2016774037
28	0.198583193
29	0.1957355527
30	0.1924868778
31	0.1897464589
32	0.1872848892
33	0.184566674
34	0.1820836601
35	0.1797017788
36	0.1775083255
37	0.1757167448
38	0.1736668863
39	0.1714666249
40	0.1696582357
41	0.1676330878
42	0.1656351897
43	0.1637013526
44	0.1616787864
45	0.1598642708
46	0.1582901689
47	0.1567468529
48	0.1552267774
49	0.1537233906
50	0.1524046911
51	0.1510124005
52	0.149603532
53	0.1482986995
54	0.1469506157
55	0.1458664392
56	0.144631771
57	0.1436129341
58	0.1425233119
59	0.1413794981
60	0.1402696584
61	0.1393005995
62	0.1382843186
63	0.1374911184
64	0.1364503342
65	0.1355998468
66	0.134705004
67	0.1339654314
68	0.133121984
69	0.1325207334
70	0.1318435586
71	0.1309464838
72	0.1304244054
73	0.129800693
74	0.1290417982
75	0.1283256731
76	0.1274810934
77	0.1267746409
78	0.126215912
79	0.1256683396
80	0.1250031484
81	0.1244102819
82	0.1239090739
83	0.1232992314
84	0.1228617463
85	0.1222893146
86	0.1217532642
87	0.1211795531
88	0.1206863156
89	0.1201859552
90	0.1195870037
91	0.1190794087
92	0.118527651
93	0.118188869
94	0.1176310086
95	0.1172191202
96	0.1166984382
97	0.1163283801
98	0.1159017095
99	0.1154991497
100	0.1151736688
101	0.1147368681
102	0.1144288378
103	0.1141126848
104	0.1137238576
105	0.1133036043
106	0.1129112157
107	0.1125378824
108	0.1121573696
109	0.1118199587
110	0.1114393387
111	0.1111944353
112	0.1108710016
113	0.1105233054
114	0.1102999561
115	0.1099686253
116	0.1097231836
117	0.1093309599
118	0.109052063
119	0.1086519737
120	0.1082729165
121	0.10784407
122	0.1075975104
123	0.1073661519
124	0.1072462595
125	0.1071180263
126	0.1068718852
127	0.1065857425
128	0.1062198067
129	0.1059969593
130	0.1057280857
131	0.1054855472
132	0.1053060896
133	0.1050642095
134	0.104784599
135	0.104498037
136	0.1042683175
137	0.103959464
138	0.1036687894
139	0.1034232814
140	0.1031551128
141	0.1030065883
142	0.1027606382
143	0.102566866
144	0.1023401008
145	0.1021562227
146	0.101979461
147	0.1017309975
148	0.1015754741
149	0.1013177406
150	0.1011363125
151	0.1008815284
152	0.1006688548
153	0.100320881
154	0.1001350145
155	0.09991786397
156	0.09974769384
157	0.09955944224
158	0.09940248544
159	0.09926515083
160	0.09906095981
161	0.09881651916
162	0.09863915248
163	0.09845649501
164	0.09830336059
165	0.09810194839
166	0.09791835895
167	0.09781596867
168	0.09760113355
169	0.09743215801
170	0.09724626239
171	0.097080204
172	0.09692142371
173	0.0967875047
174	0.09664816648
175	0.09650529415
176	0.09633154859
177	0.09618803258
178	0.09599774438
179	0.09584489012
180	0.09573898534
181	0.09556656283
182	0.09541369017
183	0.0952764152
184	0.09523147794
185	0.09505199071
186	0.09497141741
187	0.09479418265
188	0.09474650205
189	0.09459048645
190	0.09445062374
191	0.09430353984
192	0.09418198906
193	0.0941402686
194	0.09395043668
195	0.09373219298
196	0.0935090278
197	0.09340080544
198	0.09336487497
199	0.09315906451
200	0.09299151112
201	0.09278896403
202	0.09261554791
203	0.0924678885
204	0.09226911449
205	0.0920450745
206	0.09189433847
207	0.09185329035
208	0.09168519986
209	0.09148705881
210	0.09134916642
211	0.09124158981
212	0.09106019589
213	0.09090603097
214	0.09074754764
215	0.09061062571
216	0.0904334388
217	0.09025392363
218	0.09008592451
219	0.08992349607
220	0.08980288457
221	0.08958956227
222	0.08941363336
223	0.08930546724
224	0.08926325258
225	0.08905637936
226	0.08895896953
227	0.08888301476
228	0.08880166751
229	0.08859056128
230	0.08840110527
231	0.08818909134
232	0.08806602815
233	0.08798633234
234	0.0878601588
235	0.08772096385
236	0.0875826814
237	0.08743345519
238	0.08737206722
239	0.08731827921
240	0.0872836057
241	0.08707226002
242	0.08704504818
243	0.08693115519
244	0.08681634931
245	0.08667313393
246	0.08656342752
247	0.08645352245
248	0.08633535309
249	0.08628691485
250	0.08615699491
251	0.08604382379
252	0.08595832673
253	0.08592599961
254	0.08585317885
255	0.08564372118
256	0.08555148968
257	0.08537509244
258	0.08524799125
259	0.08510879739
260	0.08496904277
261	0.08490862256
262	0.08477181863
263	0.08465392388
264	0.08447829139
265	0.08436822073
266	0.08424425587
267	0.08416503659
268	0.08409409099
269	0.08395213935
270	0.08380391227
271	0.08370375068
272	0.08360207635
273	0.08350872387
274	0.08343513423
275	0.08335556262
276	0.08317678474
277	0.08300773869
278	0.08288372942
279	0.08274533141
280	0.08261125971
281	0.08248838017
282	0.08240636835
283	0.0822989693
284	0.08224819168
285	0.08208695057
286	0.08200432941
287	0.08196435949
288	0.0818509143
289	0.08167172559
290	0.08154806227
291	0.08145980266
292	0.08143078744
293	0.08127956779
294	0.08116389117
295	0.08113308237
296	0.08102935539
297	0.0808847358
298	0.08081003697
299	0.08073838808
300	0.08070058464
301	0.08063196952
302	0.08050820547
303	0.08037498926
304	0.08026234491
305	0.0801386196
306	0.08005994467
307	0.07992569516
308	0.07977497899
309	0.07974121942
310	0.07965513537
311	0.07961364651
312	0.07944484007
313	0.07934478079
314	0.07922640939
315	0.07910434402
316	0.07900156498
317	0.07897321329
318	0.07886158691
319	0.07869858707
320	0.07861294363
321	0.07858223795
322	0.07847150217
323	0.07844669444
324	0.07842117394
325	0.07831117464
326	0.07820125935
327	0.07810909728
328	0.07808295112
329	0.07798817859
330	0.07795805436
331	0.07784465806
332	0.07781965258
333	0.07771961626
334	0.07758992191
335	0.07745483883
336	0.0773364498
337	0.07715760847
338	0.07708074315
339	0.07696357648
340	0.07682821069
341	0.07674650138
342	0.07665985991
343	0.0765217941
344	0.07636420685
345	0.07629600643
346	0.07618603018
347	0.07603228729
348	0.07588932311
349	0.07581779403
350	0.07572488557
351	0.0756097595
352	0.07553297598
353	0.07544365383
354	0.07537508568
355	0.07528822903
356	0.07518406142
357	0.07503313346
358	0.07493859527
359	0.07490480426
360	0.07487862688
361	0.0748454485
362	0.07472852309
363	0.07469210568
364	0.07467080394
365	0.07452936775
366	0.07441741843
367	0.07430788033
368	0.07419382915
369	0.07411730598
370	0.07408191845
371	0.07396696912
372	0.07387656953
373	0.07381281084
374	0.07370572237
375	0.07359270719
376	0.07353013854
377	0.07346806904
378	0.07338246239
379	0.07327947478
380	0.07319874382
381	0.07314609073
382	0.07306050551
383	0.07297246265
384	0.07295185333
385	0.07287092027
386	0.07284074145
387	0.07279590846
388	0.072747914
389	0.07267973523
390	0.07265805019
391	0.07257957646
392	0.07254989505
393	0.07246401292
394	0.07236276385
395	0.07229948653
396	0.07228257116
397	0.07222664392
398	0.07205553585
399	0.07193738475
400	0.0718319185
401	0.07175803852
402	0.07172336732
403	0.07168062387
404	0.07162427472
405	0.07159164291
406	0.07150390518
407	0.0714863077
408	0.07142286167
409	0.07135529822
410	0.07127146021
411	0.07120369624
412	0.07114079167
413	0.07107257775
414	0.07098471749
415	0.07089862742
416	0.07087850008
417	0.07080204812
418	0.07069440768
419	0.07063827722
420	0.07052319116
421	0.07044196861
422	0.07037777604
423	0.07029127106
424	0.0701935358
425	0.07008664411
426	0.07001044046
427	0.06994998575
428	0.06983974029
429	0.06982255421
430	0.06980923249
431	0.06979818815
432	0.06970762432
433	0.06968298647
434	0.06957653444
435	0.06945879428
436	0.06936480722
437	0.06927318273
438	0.06925714828
439	0.06915216152
440	0.06910319731
441	0.06901341673
442	0.06899389843
443	0.06893194031
444	0.06884989639
